date,totalDuration,inBedTime,outBedTime,sleepEfficiency,actualSleepDuration,wakeSleepTime,REMDuration,lightSleepDuration,deepSleepTime,inBedAwakePercentage,REMPercentage,lightSleepPercentage,deepSleepPercentage,sleepScore
2018-09-30 00:00:00,396,2018-09-30 00:18:00,2018-09-30 06:54:00,99.4949494949495,394,2,63.25,189.75,141,0.5050505050505051,15.972222222222221,47.916666666666664,35.60606060606061,82.66388888888889
2018-10-02 00:00:00,139,2018-10-01 21:23:00,2018-10-01 23:32:00,92.80575539568345,129,10,12.25,36.75,80,7.194244604316546,8.81294964028777,26.43884892086331,57.55395683453237,44.0
2018-10-07 00:00:00,232,2018-10-06 18:34:00,2018-10-06 22:13:00,94.39655172413794,219,13,20.75,62.25,136,5.603448275862069,8.943965517241379,26.83189655172414,58.62068965517241,42.2
2018-10-10 00:00:00,334,2018-10-09 16:33:00,2018-10-09 21:52:00,95.50898203592814,319,15,43.0,129.0,147,4.491017964071856,12.874251497005988,38.622754491017965,44.01197604790419,58.83652694610778
2018-10-12 00:00:00,176,2018-10-11 19:12:00,2018-10-11 22:01:00,96.02272727272727,169,7,33.25,99.75,36,3.977272727272727,18.892045454545453,56.67613636363637,20.454545454545453,58.65965909090909
2018-10-20 00:00:00,88,2018-10-19 21:36:00,2018-10-19 22:45:00,78.4090909090909,69,19,9.75,29.25,30,21.59090909090909,11.079545454545455,33.23863636363637,34.09090909090909,41.303409090909085
2018-11-01 00:00:00,392,2018-10-31 14:30:00,2018-10-31 20:47:00,96.1734693877551,377,15,36.75,110.25,230,3.826530612244898,9.375,28.125,58.673469387755105,63.08
2018-11-11 00:00:00,251,2018-11-10 19:44:00,2018-11-10 23:43:00,95.2191235059761,239,12,18.75,56.25,164,4.780876494023905,7.47011952191235,22.410358565737052,65.33864541832669,42.8
2018-11-18 00:00:00,135,2018-11-17 20:01:00,2018-11-17 22:09:00,94.81481481481481,128,7,18.75,56.25,53,5.185185185185185,13.88888888888889,41.666666666666664,39.25925925925926,52.15555555555555
2018-11-24 00:00:00,88,2018-11-23 20:08:00,2018-11-23 21:30:00,93.18181818181819,82,6,10.5,31.5,40,6.818181818181818,11.931818181818182,35.79545454545455,45.45454545454545,50.211363636363636
2018-11-25 00:00:00,182,2018-11-24 19:29:00,2018-11-24 22:14:00,90.65934065934066,165,17,20.5,61.5,83,9.340659340659341,11.263736263736265,33.79120879120879,45.604395604395606,42.74285714285715
2018-11-26 00:00:00,74,2018-11-25 20:03:00,2018-11-25 21:05:00,83.78378378378379,62,12,9.25,27.75,25,16.216216216216218,12.5,37.5,33.78378378378378,47.35
2019-01-01 00:00:00,128,2018-12-31 19:05:00,2018-12-31 21:09:00,96.875,124,4,13.25,39.75,71,3.125,10.3515625,31.0546875,55.46875,49.35703125
2019-08-14 00:00:00,416,2019-08-13 23:45:00,2019-08-14 06:39:00,99.51923076923077,414,2,83.0,249.0,82,0.4807692307692308,19.951923076923077,59.85576923076923,19.71153846153846,90.74903846153845
2019-08-15 00:00:00,513,2019-08-15 00:16:00,2019-08-15 08:31:00,96.49122807017544,495,18,108.75,326.25,60,3.508771929824561,21.198830409356724,63.59649122807018,11.695906432748538,76.75438596491227
2019-08-16 00:00:00,392,2019-08-16 00:03:00,2019-08-16 06:30:00,98.72448979591837,387,5,68.75,206.25,112,1.2755102040816326,17.538265306122447,52.61479591836735,28.571428571428573,81.77974489795918
2019-08-17 00:00:00,538,2019-08-16 23:04:00,2019-08-17 07:57:00,99.07063197026022,533,5,106.5,319.5,107,0.929368029739777,19.79553903345725,59.386617100371744,19.888475836431226,90.92267657992565
2019-08-18 00:00:00,606,2019-08-17 22:41:00,2019-08-18 08:28:00,96.86468646864687,587,19,117.0,351.0,119,3.1353135313531353,19.306930693069308,57.92079207920792,19.636963696369637,81.63597359735974
2019-08-19 00:00:00,445,2019-08-18 23:38:00,2019-08-19 06:43:00,95.50561797752809,425,20,62.25,186.75,176,4.49438202247191,13.98876404494382,41.96629213483146,39.550561797752806,74.48539325842697
2019-08-21 00:00:00,462,2019-08-20 23:49:00,2019-08-21 07:11:00,95.67099567099567,442,20,77.25,231.75,133,4.329004329004329,16.72077922077922,50.16233766233766,28.78787878787879,78.03701298701299
2019-09-23 00:00:00,782,2019-09-22 17:34:00,2019-09-23 06:27:00,98.84910485933504,773,9,102.25,306.75,364,1.1508951406649617,13.07544757033248,39.22634271099744,46.547314578005114,79.89808184143222
2019-09-26 00:00:00,194,2019-09-25 23:09:00,2019-09-26 02:05:00,90.72164948453609,176,18,23.5,70.5,82,9.278350515463918,12.11340206185567,36.34020618556701,42.2680412371134,43.24742268041237
2019-10-26 00:00:00,78,2019-10-25 20:56:00,2019-10-25 22:13:00,98.71794871794872,77,1,16.25,48.75,12,1.2820512820512822,20.833333333333332,62.5,15.384615384615385,60.16794871794872
2019-10-27 00:00:00,125,2019-10-26 19:35:00,2019-10-26 21:35:00,96.0,120,5,16.0,48.0,56,4.0,12.8,38.4,44.8,51.94
2019-11-10 00:00:00,941,2019-11-09 19:34:00,2019-11-10 11:05:00,98.93730074388948,931,10,219.5,658.5,53,1.0626992561105206,23.32624867162593,69.97874601487779,5.63230605738576,78.25642933049947
2019-11-11 00:00:00,673,2019-11-10 16:44:00,2019-11-11 03:36:00,96.87964338781575,652,21,155.0,465.0,32,3.1203566121842496,23.031203566121842,69.09361069836552,4.75482912332838,70.39539375928678
2019-11-16 00:00:00,1016,2019-11-15 16:14:00,2019-11-16 08:57:00,98.72047244094489,1003,13,65.25,195.75,742,1.279527559055118,6.422244094488189,19.266732283464567,73.03149606299213,72.2
2019-11-18 00:00:00,1086,2019-11-17 14:30:00,2019-11-18 08:31:00,99.53959484346224,1081,5,63.5,190.5,827,0.4604051565377532,5.847145488029466,17.5414364640884,76.15101289134438,77.0
